Name,Date,Period,School,Sport
"Aagaard, Sofie ",2018-2019,Aug 2015 -  ,California Polytechnic State University ,Women's Golf 
"Abbott, Alicia ",2018-2019,Jul 2019 -  ,Loyola University Chicago ,Softball 
"Abbott, Mike ",2018-2019,Aug 2018 - Sep 2018 ,Colgate University ,Men's Lacrosse 
"Abdur-Rahim, Amir ",2018-2019,May 2019 -  ,Kennesaw State University ,Men's Basketball 
"Abell, Scott ",2018-2019,Jun 2018 -  ,Davidson College ,Football 
"Ableman, Randy ",2018-2019,Aug 1989 -  ,University of Miami (Florida) ,Men's Swimming and Diving 
"Abraham, Joe ",2018-2019,Aug 2018 -  ,University of Toledo ,Softball 
"Abrahamson-Henderson, Katie ",2018-2019,May 2016 -  ,University of Central Florida ,Women's Basketball 
"Achilles, Grant ",2018-2019,Aug 2014 -  ,Brown University ,Baseball 
"Achter, Kate ",2018-2019,Aug 2016 -  ,Loyola University Chicago ,Women's Basketball 
"Acosta, Al ",2018-2019,Sep 2014 -  ,"University of California, Berkeley ",Women's Rowing 
"Acquista, Carlo ",2018-2019,Mar 2019 -  ,Fordham University ,Men's Soccer 
"Acuff, Annette ",2018-2019,Jun 2001 -  ,Binghamton University ,Men's Cross Country 
"Acuff, Annette ",2018-2019,Jun 2001 -  ,Binghamton University ,Women's Cross Country 
"Acuff, Lennie ",2018-2019,Jun 2019 -  ,Lipscomb University ,Men's Basketball 
"Adair, Bonnie ",2018-2019,Oct 1997 -  ,Loyola Marymount University ,Women's Swimming and Diving 
"Adair, Charles ",2018-2019,Jan 2011 -  ,Virginia Polytechnic Institute and State University ,Women's Soccer 
"Adair, Natasha ",2018-2019,Jul 2017 -  ,University of Delaware ,Women's Basketball 
"Adam, Joshua ",2018-2019,Jul 2017 -  ,University of Southern California ,Women's Rowing 
"Adams, Brad ",2018-2019,Aug 2007 -  ,Villanova University ,Men's Tennis 
"Adams, Carissa ",2018-2019,Oct 2015 -  ,Villanova University ,Women's Rowing 
"Adams, Christy ",2018-2019,Feb 2008 -  ,Middle Tennessee State University ,Women's Golf 
"Adams, Jen ",2018-2019,Aug 2008 -  ,Loyola University Maryland ,Women's Lacrosse 
"Adams, Jocelyn ",2018-2019,Jul 2011 - Aug 2020 ,Texas Southern University ,Women's Volleyball 
"Adams, Keitha ",2018-2019,May 2017 -  ,Wichita State University ,Women's Basketball 
"Adams, Nicky ",2018-2019,Oct 2010 - Apr 2019 ,Rice University ,Women's Soccer 
"Adams, Ryan ",2018-2019,Apr 2019 -  ,Lafayette College ,Women's Volleyball 
"Adcock, Gary ",2018-2019,Jul 2011 -  ,California Baptist University ,Baseball 
"Addazio, Steve ",2018-2019,Jan 2013 - Jan 2020 ,Boston College ,Football 
"Addison, Thomas ",2018-2019,Sep 2003 -  ,Presbyterian College ,Men's Golf 
"Adell, Brittany ",2018-2019,Sep 2017 - May 2019 ,Colgate University ,Women's Rowing 
"Adix-Zins, Tracie ",2018-2019,Aug 2018 -  ,DePaul University ,Softball 
"Aganus, Ari ",2018-2019,Feb 2019 -  ,Marshall University ,Women's Volleyball 
"Agnew, J. ",2018-2019,Sep 2018 -  ,Ball State University ,Men's Swimming and Diving 
"Agnew, J. ",2018-2019,Sep 2018 -  ,Ball State University ,Women's Swimming and Diving 
"Aguglia, Jessie ",2018-2019,Jun 2019 -  ,Gardner-Webb University ,Women's Lacrosse 
"Agugua-Hamilton, Amaka ",2018-2019,May 2019 -  ,Missouri State University ,Women's Basketball 
"Ah Mow, Robyn ",2018-2019,Mar 2017 -  ,"University of Hawaii, Manoa ",Women's Volleyball 
"Aid, Jamie ",2018-2019,Sep 2013 -  ,Lipscomb University ,Women's Tennis 
"Aird, Steve ",2018-2019,Feb 2018 -  ,"Indiana University, Bloomington ",Women's Volleyball 
"Akbar, Babar ",2018-2019,Oct 2016 -  ,University of Idaho ,Women's Tennis 
"Akbar, Mohammad ",2018-2019,Aug 2018 - Nov 2018 ,University of Idaho ,Men's Tennis 
"Akers, Mike ",2018-2019,Jun 2016 -  ,University of North Texas ,Women's Golf 
"Alameda, Lonni ",2018-2019,Sep 2008 -  ,Florida State University ,Softball 
"Albaugh, Dave ",2018-2019,Jun 2016 - Apr 2019 ,Norfolk State University ,Women's Volleyball 
"Albaugh, Jay ",2018-2019,Aug 2003 -  ,William & Mary ,Men's Golf 
"Albaugh, Jay ",2018-2019,Aug 2003 -  ,William & Mary ,Women's Golf 
"Alberici, Joe ",2018-2019,Sep 2005 -  ,U.S. Military Academy ,Men's Lacrosse 
"Albertsen, Adam ",2018-2019,Aug 2018 -  ,Southern Illinois University Edwardsville ,Women's Tennis 
"Albiero, Arthur ",2018-2019,Sep 2003 -  ,University of Louisville ,Women's Swimming and Diving 
"Albiero, Arthur ",2018-2019,Sep 2003 -  ,University of Louisville ,Men's Swimming and Diving 
"Albrecht, Sarah ",2018-2019,Sep 2012 -  ,University of New Hampshire ,Women's Lacrosse 
"Alder, Jeff ",2018-2019,Aug 2003 - Feb 2019 ,Liberty University ,Men's Soccer 
"Aldrich, Griff ",2018-2019,May 2018 -  ,Longwood University ,Men's Basketball 
"Alexander, Casey ",2018-2019,May 2019 -  ,Belmont University ,Men's Basketball 
"Alexander, Casey ",2018-2019,Jun 2013 - May 2019 ,Lipscomb University ,Men's Basketball 
"Alexander, Dewayne ",2018-2019,Feb 2018 -  ,Tennessee Technological University ,Football 
"Alexander-Pompey, Nadia ",2018-2019,Aug 2018 - Jan 2020 ,Mississippi Valley State University ,Women's Cross Country 
"Alexander-Pompey, Nadia ",2018-2019,Aug 2018 - Jan 2020 ,Mississippi Valley State University ,Men's Cross Country 
"Alexander-Pompey, Nadia ",2018-2019,Aug 2018 - Jan 2020 ,Mississippi Valley State University ,"Women's Track, Indoor "
"Alexander-Pompey, Nadia ",2018-2019,Aug 2018 - Jan 2020 ,Mississippi Valley State University ,"Men's Track, Indoor "
"Alexander-Pompey, Nadia ",2018-2019,Aug 2018 - Jan 2020 ,Mississippi Valley State University ,"Women's Track, Outdoor "
"Alexander-Pompey, Nadia ",2018-2019,Aug 2018 - Jan 2020 ,Mississippi Valley State University ,"Men's Track, Outdoor "
"Alfonso, Egetta ",2018-2019,Aug 1998 -  ,College of the Holy Cross ,"Women's Track, Outdoor "
"Alfonso, Egetta ",2018-2019,Aug 1998 -  ,College of the Holy Cross ,"Women's Track, Indoor "
"Alford, Steve ",2018-2019,May 2013 - Feb 2019 ,"University of California, Los Angeles ",Men's Basketball 
"Alford, Steve ",2018-2019,May 2019 -  ,"University of Nevada, Reno ",Men's Basketball 
"Alford-Sullivan, Beth ",2018-2019,Jul 2014 -  ,"University of Tennessee, Knoxville ",Women's Cross Country 
"Alford-Sullivan, Beth ",2018-2019,Jul 2014 -  ,"University of Tennessee, Knoxville ","Men's Track, Indoor "
"Alford-Sullivan, Beth ",2018-2019,Jul 2014 -  ,"University of Tennessee, Knoxville ","Women's Track, Indoor "
"Alford-Sullivan, Beth ",2018-2019,Jul 2014 -  ,"University of Tennessee, Knoxville ","Men's Track, Outdoor "
"Alford-Sullivan, Beth ",2018-2019,Jul 2014 -  ,"University of Tennessee, Knoxville ",Men's Cross Country 
"Alford-Sullivan, Beth ",2018-2019,Jul 2014 -  ,"University of Tennessee, Knoxville ","Women's Track, Outdoor "
"Allain, Keith ",2018-2019,Aug 2006 -  ,Yale University ,Men's Ice Hockey 
"Allard, Jenny ",2018-2019,Aug 2003 -  ,Harvard University ,Softball 
"Allen, Ed ",2018-2019,Aug 2011 - Feb 2019 ,University of Alabama ,Women's Volleyball 
"Allen, Ed ",2018-2019,Feb 2019 -  ,Southern Illinois University at Carbondale ,Women's Volleyball 
"Allen, Greg ",2018-2019,Aug 2007 -  ,Vanderbilt University ,Women's Golf 
"Allen, Jimmy ",2018-2019,May 2016 -  ,U.S. Military Academy ,Men's Basketball 
"Allen, Julie ",2018-2019,Nov 2018 - Jan 2020 ,Eastern Illinois University ,Women's Volleyball 
"Allen, RuthAnn ",2018-2019,Aug 2019 -  ,Weber State University ,Women's Tennis 
"Allen, Spencer ",2018-2019,Jul 2015 -  ,Northwestern University ,Baseball 
"Allen, Stephanie ",2018-2019,Sep 2013 -  ,Binghamton University ,Women's Lacrosse 
"Allen, Tom ",2018-2019,Jan 2017 -  ,"Indiana University, Bloomington ",Football 
"Allison, Anna ",2018-2019,Apr 2013 - Mar 2020 ,Bucknell University ,Women's Volleyball 
"Allison, Doug ",2018-2019,Jul 1995 -  ,Furman University ,Men's Soccer 
"Allister, Jessica ",2018-2019,Aug 2017 -  ,Stanford University ,Softball 
"Allman, Lindsay ",2018-2019,Sep 2016 -  ,Indiana State University ,Women's Volleyball 
"Almoney, Kyle ",2018-2019,Oct 2018 - Mar 2019 ,Saint Francis University (Pennsylvania) ,Women's Swimming and Diving 
"Almquist, Zoe ",2018-2019,Apr 2019 -  ,Davidson College ,Field Hockey 
"Alonso, Al ",2018-2019,Oct 2003 -  ,New Jersey Institute of Technology ,"Women's Track, Outdoor "
"Alonso, Al ",2018-2019,Oct 2003 -  ,New Jersey Institute of Technology ,"Men's Track, Indoor "
"Alonso, Al ",2018-2019,Oct 2003 -  ,New Jersey Institute of Technology ,"Men's Track, Outdoor "
"Alonso, Al ",2018-2019,Oct 2003 -  ,New Jersey Institute of Technology ,"Women's Track, Indoor "
"Alonso, Al ",2018-2019,Oct 2003 -  ,New Jersey Institute of Technology ,Men's Cross Country 
"Alonso, Al ",2018-2019,Oct 2003 -  ,New Jersey Institute of Technology ,Women's Cross Country 
"Altman, Dana ",2018-2019,Oct 2011 -  ,University of Oregon ,Men's Basketball 
"Alvey, Molly ",2018-2019,Mar 2012 -  ,University of Cincinnati ,Women's Volleyball 
"Alvine, Al ",2018-2019,Feb 2012 -  ,Duquesne University ,Women's Soccer 
"Amaker, Tommy ",2018-2019,May 2007 -  ,Harvard University ,Men's Basketball 
"Amato, Tony ",2018-2019,Feb 2013 -  ,University of Arizona ,Women's Soccer 
"Ambrose, Darren ",2018-2019,Mar 2015 -  ,Vanderbilt University ,Women's Soccer 
"Ambrose, Rob ",2018-2019,Jan 2009 -  ,Towson University ,Football 
"Amicone, Mary Kay ",2018-2019,Jul 2013 -  ,Weber State University ,Softball 
"Amonte-Hiller, Kelly ",2018-2019,Oct 2000 -  ,Northwestern University ,Women's Lacrosse 
"Amores, Andres ",2018-2019,Aug 2015 -  ,Jacksonville State University ,Women's Tennis 
"Amores, Andres ",2018-2019,Aug 2015 -  ,Jacksonville State University ,Men's Tennis 
"Amos, Jake ",2018-2019,Jul 2019 -  ,East Tennessee State University ,Men's Golf 
"Amplo, Joe ",2018-2019,Jul 2019 -  ,U.S. Naval Academy ,Men's Lacrosse 
"Amplo, Joe ",2018-2019,Mar 2011 - Jul 2019 ,Marquette University ,Men's Lacrosse 
"Amundson, Kara ",2018-2019,Jul 2012 -  ,Murray State University ,Softball 
"Amundson, Lauren ",2018-2019,Jun 2015 - Jun 2019 ,Marist College ,Women's Volleyball 
"Anagnost, Tom ",2018-2019,Apr 2017 - Feb 2019 ,Mississippi State University ,Women's Soccer 
"Anagnost, Tom ",2018-2019,Feb 2019 - Mar 2021 ,University of Illinois Chicago ,Women's Soccer 
"Anastopoulo, Angelo ",2018-2019,Oct 1991 -  ,College of Charleston (South Carolina) ,Women's Tennis 
"Anatol, Ryan ",2018-2019,Apr 2011 -  ,Stony Brook University ,Men's Soccer 
"Andersen, Gary ",2018-2019,Mar 2019 - Dec 2020 ,Utah State University ,Football 
"Anderson , Kalen ",2018-2019,Mar 2008 -  ,"University of South Carolina, Columbia ",Women's Golf 
"Anderson, Avery ",2018-2019,Aug 2017 -  ,"University of California, Los Angeles ","Women's Track, Indoor "
"Anderson, Avery ",2018-2019,Aug 2017 -  ,"University of California, Los Angeles ","Men's Track, Outdoor "
"Anderson, Avery ",2018-2019,Aug 2017 -  ,"University of California, Los Angeles ",Men's Cross Country 
"Anderson, Avery ",2018-2019,Aug 2017 -  ,"University of California, Los Angeles ","Women's Track, Outdoor "
"Anderson, Avery ",2018-2019,Aug 2017 -  ,"University of California, Los Angeles ","Men's Track, Indoor "
"Anderson, Avery ",2018-2019,Aug 2017 -  ,"University of California, Los Angeles ",Women's Cross Country 
"Anderson, Blake ",2018-2019,Jan 2014 - Apr 2021 ,Arkansas State University ,Football 
"Anderson, Darryl ",2018-2019,Jan 2005 -  ,Texas Christian University ,"Women's Track, Indoor "
"Anderson, Darryl ",2018-2019,Jan 2005 -  ,Texas Christian University ,Men's Cross Country 
"Anderson, Darryl ",2018-2019,Jan 2005 -  ,Texas Christian University ,"Men's Track, Indoor "
"Anderson, Darryl ",2018-2019,Jan 2005 -  ,Texas Christian University ,"Women's Track, Outdoor "
"Anderson, Darryl ",2018-2019,Jan 2005 -  ,Texas Christian University ,Women's Cross Country 
"Anderson, Darryl ",2018-2019,Jan 2005 -  ,Texas Christian University ,"Men's Track, Outdoor "
"Anderson, Elizabeth ",2018-2019,Aug 2004 -  ,Elon University ,Women's Tennis 
"Anderson, James ",2018-2019,Jul 2012 -  ,University of Arizona ,Men's Golf 
"Anderson, Jason ",2018-2019,Aug 2015 -  ,Eastern Illinois University ,Baseball 
"Anderson, John R. ",2018-2019,Aug 1982 -  ,"University of Minnesota, Twin Cities ",Baseball 
"Anderson, Kelly ",2018-2019,Jun 2018 - Sep 2020 ,University of Delaware ,Women's Tennis 
"Anderson, Kevin ",2018-2019,Sep 2009 -  ,Columbia University-Barnard College ,Men's Soccer 
"Anderson, Larissa ",2018-2019,Jul 2018 -  ,"University of Missouri, Columbia ",Softball 
