School,lat,lng,Number of DI Sports,Number of Men Head Coaches,Number of Women Head Coaches,Percentage Men Coaches,Percentage Women Coaches,Percentage Men's Sports Coached By Men,Percentage Men's Sports Coached By Women,Percentage Women's Sports Coached By Men,Percentage Women's Sports Coached By Women
Abilene Christian University,32.4682700000001,-99.71153,17,13,4,76.47,23.53,100.0,0.0,55.56,44.44
Alabama A&M University,34.7837900000001,-86.5722499999999,16,8,8,50.0,50.0,71.43,28.57,33.33,66.67
Alabama State University,32.3659900000001,-86.29616,18,14,4,77.78,22.22,100.0,0.0,60.0,40.0
Alcorn State University,31.87604,-91.1400399999999,15,11,4,73.33,26.67,85.71,14.29,62.5,37.5
American International College,42.11341,-72.55825,1,1,0,100.0,0.0,100.0,0.0,0.0,0.0
American University,38.9362400000001,-77.08622,16,13,3,81.25,18.75,100.0,0.0,66.67,33.33
Appalachian State University,36.2112700000001,-81.6773899999999,20,16,4,80.0,20.0,100.0,0.0,60.0,40.0
Arizona State University,33.4219200000001,-111.93494,25,19,6,76.0,24.0,90.91,9.09,64.29,35.71
Arkansas State University,35.84238,-90.6801,16,15,1,93.75,6.25,100.0,0.0,88.89,11.11
Auburn University,32.60414,-85.48188,20,16,4,80.0,20.0,100.0,0.0,63.64,36.36
Augusta University,33.476619720459,-81.9849700927734,2,1,1,50.0,50.0,100.0,0.0,0.0,100.0
Austin Peay State University,36.53326,-87.35407,14,7,7,50.0,50.0,83.33,16.67,25.0,75.0
Ball State University,40.1983300000001,-85.40894,19,14,5,73.68,26.32,100.0,0.0,58.33,41.67
Baylor University,31.5511700000001,-97.11537,17,16,1,94.12,5.88,100.0,0.0,88.89,11.11
Bellarmine University,38.2176000000001,-85.70773,1,1,0,100.0,0.0,100.0,0.0,0.0,0.0
Belmont University,36.1339600000001,-86.7952799999999,17,13,4,76.47,23.53,100.0,0.0,55.56,44.44
Bemidji State University,47.4836900000001,-94.87495,2,2,0,100.0,0.0,100.0,0.0,100.0,0.0
Bentley University,42.39066,-71.2224899999999,1,1,0,100.0,0.0,100.0,0.0,0.0,0.0
Bethune-Cookman University,29.2134600000001,-81.0327599999999,17,11,6,64.71,35.29,87.5,12.5,44.44,55.56
Binghamton University,42.0867900000001,-75.96931,21,15,6,71.43,28.57,90.91,9.09,50.0,50.0
Bloomsburg University of Pennsylvania,41.0052700000001,-76.45098,1,1,0,100.0,0.0,100.0,0.0,0.0,0.0
Boise State University,43.6029800000001,-116.20466,19,14,5,73.68,26.32,100.0,0.0,58.33,41.67
Boston College,42.3516500000001,-71.0774499999999,29,24,5,82.76,17.24,100.0,0.0,68.75,31.25
Boston University,42.3504500000001,-71.09883,22,11,11,50.0,50.0,77.78,22.22,30.77,69.23
Bowling Green State University,41.37463,-83.63754,18,8,10,44.44,55.56,85.71,14.29,18.18,81.82
Bradley University,40.6963900000001,-89.61607,15,11,4,73.33,26.67,100.0,0.0,50.0,50.0
Brigham Young University,40.2523800000001,-111.65015,21,17,4,80.95,19.05,100.0,0.0,63.64,36.36
Brown University,41.82761,-71.4045,33,22,11,66.67,33.33,100.0,0.0,38.89,61.11
Bryant University,41.92159,-71.53404,22,16,6,72.73,27.27,90.91,9.09,54.55,45.45
Bucknell University,40.9565400000001,-76.88449,27,23,4,85.19,14.81,100.0,0.0,71.43,28.57
Butler University,39.84135,-86.16918,20,18,2,90.0,10.0,100.0,0.0,81.82,18.18
California Baptist University,35.41051,-118.96565,20,19,1,95.0,5.0,100.0,0.0,90.0,10.0
California Polytechnic State University,35.2960800000001,-120.653,21,15,6,71.43,28.57,100.0,0.0,45.45,54.55
"California State University, Bakersfield",35.3485900000001,-119.10332,16,9,7,56.25,43.75,83.33,16.67,40.0,60.0
"California State University, Fresno",36.81057,-119.74507,20,15,5,75.0,25.0,100.0,0.0,58.33,41.67
"California State University, Fullerton",33.87994,-117.88542,15,11,4,73.33,26.67,100.0,0.0,55.56,44.44
"California State University, Northridge",34.2355200000001,-118.52864,18,16,2,88.89,11.11,100.0,0.0,80.0,20.0
"California State University, Sacramento",38.5612400000001,-121.42446,21,19,2,90.48,9.52,100.0,0.0,83.33,16.67
Campbell University,35.4080000000001,-78.73804,21,18,3,85.71,14.29,100.0,0.0,72.73,27.27
Canisius College,42.9256,-78.85349,20,16,4,80.0,20.0,100.0,0.0,60.0,40.0
Central Connecticut State University,41.6929300000001,-72.76492,16,12,4,75.0,25.0,100.0,0.0,55.56,44.44
Central Michigan University,33.9007,-84.4504,18,7,11,38.89,61.11,57.14,42.86,27.27,72.73
Charleston Southern University,32.9845100000001,-80.06765,16,12,4,75.0,25.0,100.0,0.0,55.56,44.44
Chicago State University,41.7219500000001,-87.60932,15,13,2,86.67,13.33,100.0,0.0,75.0,25.0
Clarion University of Pennsylvania,41.21043,-79.37825,1,1,0,100.0,0.0,100.0,0.0,0.0,0.0
Clarkson University,44.6669900000001,-74.99407,2,2,0,100.0,0.0,100.0,0.0,100.0,0.0
Clemson University,34.6798000000001,-82.83547,18,14,4,77.78,22.22,100.0,0.0,55.56,44.44
Cleveland State University,41.5022000000001,-81.6753199999999,19,14,5,73.68,26.32,87.5,12.5,63.64,36.36
Coastal Carolina University,33.7971400000001,-79.01863,19,9,10,47.37,52.63,75.0,25.0,27.27,72.73
Colgate University,42.81967,-75.53585,24,13,11,54.17,45.83,72.73,27.27,38.46,61.54
College of Charleston (South Carolina),32.7837200000001,-79.93725,16,9,7,56.25,43.75,83.33,16.67,40.0,60.0
College of the Holy Cross,42.2396200000001,-71.8126799999999,25,18,7,72.0,28.0,100.0,0.0,50.0,50.0
Colorado College,38.8466000000001,-104.82429,2,2,0,100.0,0.0,100.0,0.0,100.0,0.0
Colorado State University,40.57807,-105.08155,16,14,2,87.5,12.5,100.0,0.0,80.0,20.0
Columbia University-Barnard College,40.80927,-73.9637,26,17,9,65.38,34.62,100.0,0.0,35.71,64.29
Coppin State University,39.3096100000001,-76.6572,14,11,3,78.57,21.43,83.33,16.67,75.0,25.0
Cornell University,42.4463500000001,-76.4826899999999,28,23,5,82.14,17.86,100.0,0.0,66.67,33.33
Creighton University,41.2653300000001,-95.94935,14,12,2,85.71,14.29,100.0,0.0,75.0,25.0
Dallas Baptist University,32.7098500000001,-96.9470899999999,1,1,0,100.0,0.0,100.0,0.0,0.0,0.0
Dartmouth College,43.7031500000001,-72.28941,28,18,10,64.29,35.71,92.31,7.69,40.0,60.0
Davidson College,35.49929,-80.84842,21,14,7,66.67,33.33,100.0,0.0,30.0,70.0
DePaul University,41.92402,-87.6547263,15,12,3,80.0,20.0,100.0,0.0,62.5,37.5
Delaware State University,39.18571,-75.54257,11,7,4,63.64,36.36,100.0,0.0,50.0,50.0
Drake University,41.60044,-93.65103,18,14,4,77.78,22.22,100.0,0.0,60.0,40.0
Drexel University,39.95412,-75.18691,15,12,3,80.0,20.0,100.0,0.0,62.5,37.5
Duke University,36.0000900000001,-78.93065,27,18,9,66.67,33.33,92.31,7.69,42.86,57.14
Duquesne University,40.43755,-79.99361,17,12,5,70.59,29.41,83.33,16.67,63.64,36.36
East Carolina University,35.6090300000001,-77.3662199999999,20,15,5,75.0,25.0,100.0,0.0,54.55,45.45
East Tennessee State University,36.30418,-82.36686,18,15,3,83.33,16.67,100.0,0.0,66.67,33.33
Eastern Illinois University,39.4843900000001,-88.1750499999999,20,15,5,75.0,25.0,80.0,20.0,70.0,30.0
Eastern Kentucky University,37.7422100000001,-84.3022799999999,16,11,5,68.75,31.25,100.0,0.0,44.44,55.56
Eastern Michigan University,42.24672,-83.62204,17,11,6,64.71,35.29,100.0,0.0,40.0,60.0
Eastern Washington University,47.48997,-117.57795,14,9,5,64.29,35.71,100.0,0.0,37.5,62.5
Edinboro University of Pennsylvania,41.8696600000001,-80.1276799999999,1,1,0,100.0,0.0,100.0,0.0,0.0,0.0
Elon University,36.1017800000001,-79.50673,17,13,4,76.47,23.53,100.0,0.0,60.0,40.0
