Sport,Head Coach Gender,Percentage
Men's Cross Country,Man,85.94
Men's Cross Country,Woman,14.06
"Men's Track, Indoor",Man,86.94
"Men's Track, Indoor",Woman,13.06
"Women's Track, Indoor",Man,77.27
"Women's Track, Indoor",Woman,22.73
Women's Cross Country,Man,76.79
Women's Cross Country,Woman,23.21
"Women's Track, Outdoor",Man,77.51
"Women's Track, Outdoor",Woman,22.49
"Men's Track, Outdoor",Man,86.76
"Men's Track, Outdoor",Woman,13.24
Football,Man,100.0
Football,Woman,0.0
Softball,Man,33.56
Softball,Woman,66.44
Men's Basketball,Man,100.0
Men's Basketball,Woman,0.0
Women's Basketball,Man,40.17
Women's Basketball,Woman,59.83
Men's Tennis,Man,96.0
Men's Tennis,Woman,4.0
Baseball,Man,100.0
Baseball,Woman,0.0
Women's Volleyball,Man,54.03
Women's Volleyball,Woman,45.97
Women's Beach Volleyball,Man,62.5
Women's Beach Volleyball,Woman,37.5
Men's Golf,Man,99.67
Men's Golf,Woman,0.33
Women's Tennis,Man,62.14
Women's Tennis,Woman,37.86
Women's Soccer,Man,72.24
Women's Soccer,Woman,27.76
Women's Bowling,Man,50.0
Women's Bowling,Woman,50.0
Women's Golf,Man,39.55
Women's Golf,Woman,60.45
Men's Ice Hockey,Man,100.0
Men's Ice Hockey,Woman,0.0
Men's Swimming and Diving,Man,90.91
Men's Swimming and Diving,Woman,9.09
Women's Swimming and Diving,Man,83.59
Women's Swimming and Diving,Woman,16.41
Field Hockey,Man,18.42
Field Hockey,Woman,81.58
Men's Wrestling,Man,100.0
Men's Wrestling,Woman,0.0
Men's Soccer,Man,100.0
Men's Soccer,Woman,0.0
Women's Lacrosse,Man,12.93
Women's Lacrosse,Woman,87.07
Women's Water Polo,Man,75.76
Women's Water Polo,Woman,24.24
Women's Gymnastics,Man,38.33
Women's Gymnastics,Woman,61.67
Men's Volleyball,Man,100.0
Men's Volleyball,Woman,0.0
Men's Lacrosse,Man,100.0
Men's Lacrosse,Woman,0.0
Women's Ice Hockey,Man,68.57
Women's Ice Hockey,Woman,31.43
Women's Fencing,Man,80.0
Women's Fencing,Woman,20.0
Men's Fencing,Man,85.0
Men's Fencing,Woman,15.0
Women's Rowing,Man,58.62
Women's Rowing,Woman,41.38
Men's Skiing,Man,100.0
Men's Skiing,Woman,0.0
Women's Skiing,Man,90.91
Women's Skiing,Woman,9.09
Men's Water Polo,Man,100.0
Men's Water Polo,Woman,0.0
Mixed Rifle,Man,76.47
Mixed Rifle,Woman,23.53
Men's Gymnastics,Man,100.0
Men's Gymnastics,Woman,0.0
