"","Name","Date","Period","School","Sport"
"1","Aagaard, Sofie ","2018-2019","Aug 2015 -  ","California Polytechnic State University ","Women's Golf "
"2","Abbott, Alicia ","2018-2019","Jul 2019 -  ","Loyola University Chicago ","Softball "
"3","Abbott, Mike ","2018-2019","Aug 2018 - Sep 2018 ","Colgate University ","Men's Lacrosse "
"4","Abdur-Rahim, Amir ","2018-2019","May 2019 -  ","Kennesaw State University ","Men's Basketball "
"5","Abell, Scott ","2018-2019","Jun 2018 -  ","Davidson College ","Football "
"6","Ableman, Randy ","2018-2019","Aug 1989 -  ","University of Miami (Florida) ","Men's Swimming and Diving "
"7","Abraham, Joe ","2018-2019","Aug 2018 -  ","University of Toledo ","Softball "
"8","Abrahamson-Henderson, Katie ","2018-2019","May 2016 -  ","University of Central Florida ","Women's Basketball "
"9","Achilles, Grant ","2018-2019","Aug 2014 -  ","Brown University ","Baseball "
"10","Achter, Kate ","2018-2019","Aug 2016 -  ","Loyola University Chicago ","Women's Basketball "
"11","Acosta, Al ","2018-2019","Sep 2014 -  ","University of California, Berkeley ","Women's Rowing "
"12","Acquista, Carlo ","2018-2019","Mar 2019 -  ","Fordham University ","Men's Soccer "
"13","Acuff, Annette ","2018-2019","Jun 2001 -  ","Binghamton University ","Men's Cross Country "
"14","Acuff, Annette ","2018-2019","Jun 2001 -  ","Binghamton University ","Women's Cross Country "
"15","Acuff, Lennie ","2018-2019","Jun 2019 -  ","Lipscomb University ","Men's Basketball "
"16","Adair, Bonnie ","2018-2019","Oct 1997 -  ","Loyola Marymount University ","Women's Swimming and Diving "
"17","Adair, Charles ","2018-2019","Jan 2011 -  ","Virginia Polytechnic Institute and State University ","Women's Soccer "
"18","Adair, Natasha ","2018-2019","Jul 2017 -  ","University of Delaware ","Women's Basketball "
"19","Adam, Joshua ","2018-2019","Jul 2017 -  ","University of Southern California ","Women's Rowing "
"20","Adams, Brad ","2018-2019","Aug 2007 -  ","Villanova University ","Men's Tennis "
"21","Adams, Carissa ","2018-2019","Oct 2015 -  ","Villanova University ","Women's Rowing "
"22","Adams, Christy ","2018-2019","Feb 2008 -  ","Middle Tennessee State University ","Women's Golf "
"23","Adams, Jen ","2018-2019","Aug 2008 -  ","Loyola University Maryland ","Women's Lacrosse "
"24","Adams, Jocelyn ","2018-2019","Jul 2011 - Aug 2020 ","Texas Southern University ","Women's Volleyball "
"25","Adams, Keitha ","2018-2019","May 2017 -  ","Wichita State University ","Women's Basketball "
"26","Adams, Nicky ","2018-2019","Oct 2010 - Apr 2019 ","Rice University ","Women's Soccer "
"27","Adams, Ryan ","2018-2019","Apr 2019 -  ","Lafayette College ","Women's Volleyball "
"28","Adcock, Gary ","2018-2019","Jul 2011 -  ","California Baptist University ","Baseball "
"29","Addazio, Steve ","2018-2019","Jan 2013 - Jan 2020 ","Boston College ","Football "
"30","Addison, Thomas ","2018-2019","Sep 2003 -  ","Presbyterian College ","Men's Golf "
"31","Adell, Brittany ","2018-2019","Sep 2017 - May 2019 ","Colgate University ","Women's Rowing "
"32","Adix-Zins, Tracie ","2018-2019","Aug 2018 -  ","DePaul University ","Softball "
"33","Aganus, Ari ","2018-2019","Feb 2019 -  ","Marshall University ","Women's Volleyball "
"34","Agnew, J. ","2018-2019","Sep 2018 -  ","Ball State University ","Men's Swimming and Diving "
"35","Agnew, J. ","2018-2019","Sep 2018 -  ","Ball State University ","Women's Swimming and Diving "
"36","Aguglia, Jessie ","2018-2019","Jun 2019 -  ","Gardner-Webb University ","Women's Lacrosse "
"37","Agugua-Hamilton, Amaka ","2018-2019","May 2019 -  ","Missouri State University ","Women's Basketball "
"38","Ah Mow, Robyn ","2018-2019","Mar 2017 -  ","University of Hawaii, Manoa ","Women's Volleyball "
"39","Aid, Jamie ","2018-2019","Sep 2013 -  ","Lipscomb University ","Women's Tennis "
"40","Aird, Steve ","2018-2019","Feb 2018 -  ","Indiana University, Bloomington ","Women's Volleyball "
"41","Akbar, Babar ","2018-2019","Oct 2016 -  ","University of Idaho ","Women's Tennis "
"42","Akbar, Mohammad ","2018-2019","Aug 2018 - Nov 2018 ","University of Idaho ","Men's Tennis "
"43","Akers, Mike ","2018-2019","Jun 2016 -  ","University of North Texas ","Women's Golf "
"44","Alameda, Lonni ","2018-2019","Sep 2008 -  ","Florida State University ","Softball "
"45","Albaugh, Dave ","2018-2019","Jun 2016 - Apr 2019 ","Norfolk State University ","Women's Volleyball "
"46","Albaugh, Jay ","2018-2019","Aug 2003 -  ","William & Mary ","Men's Golf "
"47","Albaugh, Jay ","2018-2019","Aug 2003 -  ","William & Mary ","Women's Golf "
"48","Alberici, Joe ","2018-2019","Sep 2005 -  ","U.S. Military Academy ","Men's Lacrosse "
"49","Albertsen, Adam ","2018-2019","Aug 2018 -  ","Southern Illinois University Edwardsville ","Women's Tennis "
