lastName,firstName,Date,Period,School,Sport,proportion_male,proportion_female,gender,schoolAddress,websiteAddress,Latitude,Longitude
Bingham,Lance,2018-2019,Jul 2016 - Jul 2020,Abilene Christian University,Men's Cross Country,0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Men's Track, Indoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Women's Track, Indoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,Women's Cross Country,0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Women's Track, Outdoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Men's Track, Outdoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Dorrel,Adam,2018-2019,Jan 2017 - ,Abilene Christian University,Football,0.9959,0.0041,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Farler,Abigail,2018-2019,Jul 2019 - ,Abilene Christian University,Softball,0.0018,0.9982,female,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Golding,Joe,2018-2019,Aug 2011 - ,Abilene Christian University,Men's Basketball,0.9745,0.0255,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Goodenough,Julie,2018-2019,May 2012 - ,Abilene Christian University,Women's Basketball,0.0027,0.9973,female,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Jones,Hutton,2018-2019,Sep 2003 - Sep 2019,Abilene Christian University,Men's Tennis,0.9713,0.0287,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
McCarty,Rick,2018-2019,Jul 2018 - ,Abilene Christian University,Baseball,0.9982,0.0018,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Mooney,Angela,2018-2019,Mar 2017 - ,Abilene Christian University,Women's Volleyball,0.003,0.997,female,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Mooney,Angela,2018-2019,Sep 2017 - ,Abilene Christian University,Women's Beach Volleyball,0.003,0.997,female,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Shaw,Tom,2018-2019,Aug 2014 - ,Abilene Christian University,Men's Golf,0.9969,0.0031,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Walker,John,2018-2019,Jun 2018 - Aug 2020,Abilene Christian University,Women's Tennis,,,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Wilson,Casey,2018-2019,Sep 2005 - ,Abilene Christian University,Women's Soccer,0.575,0.425,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Brown,Cassandra,2018-2019,Oct 2018 - ,Alabama A&M University,Softball,0.0022,0.9978,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Howard,Dylan,2018-2019,Jun 2018 - ,Alabama A&M University,Men's Basketball,0.9738,0.0262,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Jones,LaShaunda,2018-2019,Oct 2015 - ,Alabama A&M University,"Men's Track, Outdoor",0,1,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Jones,LaShaunda,2018-2019,Aug 2015 - ,Alabama A&M University,"Women's Track, Outdoor",0,1,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Jones,LaShaunda,2018-2019,Aug 2015 - ,Alabama A&M University,Women's Cross Country,0,1,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Jones,LaShaunda,2018-2019,Oct 2015 - ,Alabama A&M University,"Men's Track, Indoor",0,1,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
