X1,lastName,firstName,Date,Period,School,Sport,proportion_male,proportion_female,gender
1,Aagaard,Sofie,2018-2019,Aug 2015 -  ,California Polytechnic State University ,Women's Golf ,0,1,female
2,Abbott,Alicia,2018-2019,Jul 2019 -  ,Loyola University Chicago ,Softball ,0.0031,0.9969,female
3,Abbott,Mike,2018-2019,Aug 2018 - Sep 2018 ,Colgate University ,Men's Lacrosse ,0.9966,0.0034,male
4,Abdur-Rahim,Amir,2018-2019,May 2019 -  ,Kennesaw State University ,Men's Basketball ,0.9829,0.0171,male
5,Abell,Scott,2018-2019,Jun 2018 -  ,Davidson College ,Football ,0.9964,0.0036,male
6,Ableman,Randy,2018-2019,Aug 1989 -  ,University of Miami (Florida) ,Men's Swimming and Diving ,0.9841,0.0159,male
7,Abraham,Joe,2018-2019,Aug 2018 -  ,University of Toledo ,Softball ,0.9745,0.0255,male
8,Abrahamson-Henderson,Katie,2018-2019,May 2016 -  ,University of Central Florida ,Women's Basketball ,0.002,0.998,female
9,Achilles,Grant,2018-2019,Aug 2014 -  ,Brown University ,Baseball ,0.998,0.002,male
10,Achter,Kate,2018-2019,Aug 2016 -  ,Loyola University Chicago ,Women's Basketball ,0.0012,0.9988,female
11,Acosta,Al,2018-2019,Sep 2014 -  ,"University of California, Berkeley ",Women's Rowing ,0.9868,0.0132,male
12,Acquista,Carlo,2018-2019,Mar 2019 -  ,Fordham University ,Men's Soccer ,0.9923,0.0077,male
13,Acuff,Annette,2018-2019,Jun 2001 -  ,Binghamton University ,Men's Cross Country ,0.0031,0.9969,female
14,Acuff,Annette,2018-2019,Jun 2001 -  ,Binghamton University ,Women's Cross Country ,0.0031,0.9969,female
15,Acuff,Lennie,2018-2019,Jun 2019 -  ,Lipscomb University ,Men's Basketball ,0.5733,0.4267,male
16,Adair,Bonnie,2018-2019,Oct 1997 -  ,Loyola Marymount University ,Women's Swimming and Diving ,0.008,0.992,female
17,Adair,Charles,2018-2019,Jan 2011 -  ,Virginia Polytechnic Institute and State University ,Women's Soccer ,0.9949,0.0051,male
18,Adair,Natasha,2018-2019,Jul 2017 -  ,University of Delaware ,Women's Basketball ,0.0029,0.9971,female
