,Unnamed: 0,X1,lastName,firstName,Date,Period,School,Sport,proportion_male,proportion_female,gender,schoolAddress,websiteAddress,Latitude,Longitude
0,0,476,Bingham,Lance,2018-2019,Jul 2016 - Jul 2020,Abilene Christian University,Men's Cross Country,0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
1,1,477,Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Men's Track, Indoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
2,2,478,Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Women's Track, Indoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
3,3,479,Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,Women's Cross Country,0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
4,4,480,Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Women's Track, Outdoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
5,5,481,Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Men's Track, Outdoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
6,6,1697,Dorrel,Adam,2018-2019,Jan 2017 - ,Abilene Christian University,Football,0.9959,0.0041,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
7,7,1953,Farler,Abigail,2018-2019,Jul 2019 - ,Abilene Christian University,Softball,0.0018,0.9982,female,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
8,8,2404,Golding,Joe,2018-2019,Aug 2011 - ,Abilene Christian University,Men's Basketball,0.9745,0.0255,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
9,9,2424,Goodenough,Julie,2018-2019,May 2012 - ,Abilene Christian University,Women's Basketball,0.0027,0.9973,female,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
10,10,3336,Jones,Hutton,2018-2019,Sep 2003 - Sep 2019,Abilene Christian University,Men's Tennis,0.9713,0.0287,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
11,11,4202,McCarty,Rick,2018-2019,Jul 2018 - ,Abilene Christian University,Baseball,0.9982,0.0018,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
12,12,4548,Mooney,Angela,2018-2019,Mar 2017 - ,Abilene Christian University,Women's Volleyball,0.003,0.997,female,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
13,13,4549,Mooney,Angela,2018-2019,Sep 2017 - ,Abilene Christian University,Women's Beach Volleyball,0.003,0.997,female,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
14,14,5412,Reeves,Bobby,2018-2019,Jul 2010 - Jun 2019,Abilene Christian University,Softball,0.9724,0.0276,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
15,15,5937,Shaw,Tom,2018-2019,Aug 2014 - ,Abilene Christian University,Men's Golf,0.9969,0.0031,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
16,16,6834,Walker,John,2018-2019,Jun 2018 - Aug 2020,Abilene Christian University,Women's Tennis,,,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
17,17,7137,Wilson,Casey,2018-2019,Sep 2005 - ,Abilene Christian University,Women's Soccer,0.575,0.425,male,"Abilene, TX 79699",www.acu.edu,32.468270000000075,-99.71152999999998
18,18,747,Brown,Cassandra,2018-2019,Oct 2018 - ,Alabama A&M University,Softball,0.0022,0.9978,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
19,19,3041,Howard,Dylan,2018-2019,Jun 2018 - ,Alabama A&M University,Men's Basketball,0.9738,0.0262,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
20,20,3349,Jones,LaShaunda,2018-2019,Oct 2015 - ,Alabama A&M University,"Men's Track, Outdoor",0.0,1.0,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
21,21,3350,Jones,LaShaunda,2018-2019,Aug 2015 - ,Alabama A&M University,"Women's Track, Outdoor",0.0,1.0,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
22,22,3351,Jones,LaShaunda,2018-2019,Aug 2015 - ,Alabama A&M University,Women's Cross Country,0.0,1.0,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
23,23,3352,Jones,LaShaunda,2018-2019,Oct 2015 - ,Alabama A&M University,"Men's Track, Indoor",0.0,1.0,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
24,24,3353,Jones,LaShaunda,2018-2019,Aug 2015 - ,Alabama A&M University,"Women's Track, Indoor",0.0,1.0,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
25,25,3946,Lora,Manny,2018-2019,Sep 2018 - Jun 2020,Alabama A&M University,Baseball,1.0,0.0,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
26,26,4180,Maynor,Connell,2018-2019,Feb 2018 - ,Alabama A&M University,Football,1.0,0.0,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
27,27,4186,Mbandi,Willis,2018-2019,Nov 2012 - ,Alabama A&M University,Women's Tennis,0.9862,0.0138,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
28,28,4187,Mbandi,Willis,2018-2019,Nov 2012 - ,Alabama A&M University,Men's Tennis,0.9862,0.0138,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
29,29,4449,Miller,Trey,2018-2019,Dec 2016 - Jun 2020,Alabama A&M University,Men's Golf,0.997,0.003,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
30,30,4563,Moore,James,2018-2019,Aug 2017 - ,Alabama A&M University,Women's Bowling,0.9956,0.0044,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
31,31,5275,Powell,Rose,2018-2019,Jul 2014 - ,Alabama A&M University,Women's Volleyball,0.0042,0.9958,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.78379000000007,-86.57224999999994
