,X1,lastName,firstName,Date,Period,School,Sport,proportion_male,proportion_female,gender,schoolAddress,websiteAddress
0,476,Bingham,Lance,2018-2019,Jul 2016 - Jul 2020,Abilene Christian University,Men's Cross Country,0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu
1,477,Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Men's Track, Indoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu
2,478,Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Women's Track, Indoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu
3,479,Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,Women's Cross Country,0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu
4,480,Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Women's Track, Outdoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu
5,481,Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Men's Track, Outdoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu
6,1697,Dorrel,Adam,2018-2019,Jan 2017 - ,Abilene Christian University,Football,0.9959,0.0041,male,"Abilene, TX 79699",www.acu.edu
7,1953,Farler,Abigail,2018-2019,Jul 2019 - ,Abilene Christian University,Softball,0.0018,0.9982,female,"Abilene, TX 79699",www.acu.edu
8,2404,Golding,Joe,2018-2019,Aug 2011 - ,Abilene Christian University,Men's Basketball,0.9745,0.0255,male,"Abilene, TX 79699",www.acu.edu
9,2424,Goodenough,Julie,2018-2019,May 2012 - ,Abilene Christian University,Women's Basketball,0.0027,0.9973,female,"Abilene, TX 79699",www.acu.edu
10,3336,Jones,Hutton,2018-2019,Sep 2003 - Sep 2019,Abilene Christian University,Men's Tennis,0.9713,0.0287,male,"Abilene, TX 79699",www.acu.edu
11,4202,McCarty,Rick,2018-2019,Jul 2018 - ,Abilene Christian University,Baseball,0.9982,0.0018,male,"Abilene, TX 79699",www.acu.edu
12,4548,Mooney,Angela,2018-2019,Mar 2017 - ,Abilene Christian University,Women's Volleyball,0.003,0.997,female,"Abilene, TX 79699",www.acu.edu
13,4549,Mooney,Angela,2018-2019,Sep 2017 - ,Abilene Christian University,Women's Beach Volleyball,0.003,0.997,female,"Abilene, TX 79699",www.acu.edu
14,5412,Reeves,Bobby,2018-2019,Jul 2010 - Jun 2019,Abilene Christian University,Softball,0.9724,0.0276,male,"Abilene, TX 79699",www.acu.edu
15,5937,Shaw,Tom,2018-2019,Aug 2014 - ,Abilene Christian University,Men's Golf,0.9969,0.0031,male,"Abilene, TX 79699",www.acu.edu
16,6834,Walker,John,2018-2019,Jun 2018 - Aug 2020,Abilene Christian University,Women's Tennis,,,male,"Abilene, TX 79699",www.acu.edu
17,7137,Wilson,Casey,2018-2019,Sep 2005 - ,Abilene Christian University,Women's Soccer,0.575,0.425,male,"Abilene, TX 79699",www.acu.edu
18,747,Brown,Cassandra,2018-2019,Oct 2018 - ,Alabama A&M University,Softball,0.0022,0.9978,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/
19,3041,Howard,Dylan,2018-2019,Jun 2018 - ,Alabama A&M University,Men's Basketball,0.9738,0.0262,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/
20,3349,Jones,LaShaunda,2018-2019,Oct 2015 - ,Alabama A&M University,"Men's Track, Outdoor",0,1,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/
21,3350,Jones,LaShaunda,2018-2019,Aug 2015 - ,Alabama A&M University,"Women's Track, Outdoor",0,1,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/
