School,schoolAddress,websiteAddress
Alabama A & M University,"4900 Meridian Street, Normal, AL 35762",www.aamu.edu/
University of Alabama at Birmingham,"Administration Bldg Suite 1070, Birmingham, AL 35294-0110",https://www.uab.edu
Amridge University,"1200 Taylor Rd, Montgomery, AL 36117-3553",www.amridgeuniversity.edu
University of Alabama in Huntsville,"301 Sparkman Dr, Huntsville, AL 35899",www.uah.edu
Alabama State University,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu
The University of Alabama,"739 University Blvd, Tuscaloosa, AL 35487-0100",www.ua.edu/
Central Alabama Community College,"1675 Cherokee Rd, Alexander City, AL 35010",www.cacc.edu
Athens State University,"300 N Beaty St, Athens, AL 35611",www.athens.edu
Auburn University at Montgomery,"7440 East Drive, Montgomery, AL 36117-3596",www.aum.edu
Auburn University,"Auburn, AL 36849",www.auburn.edu
Birmingham-Southern College,"900 Arkadelphia Road, Birmingham, AL 35254",www.bsc.edu/
Chattahoochee Valley Community College,"2602 College Drive, Phenix City, AL 36869",www.cv.edu
South University-Montgomery,"5355 Vaughn Rd, Montgomery, AL 36116","www.southuniversity.edu/montgomery#location=Montgomery,%20AL"
Enterprise State Community College,"600 Plaza Drive, Enterprise, AL 36330-1300",www.escc.edu
Coastal Alabama Community College,"1900 U S Highway 31 South, Bay Minette, AL 36507-2698",www.coastalalabama.edu
Faulkner University,"5345 Atlanta Hwy, Montgomery, AL 36109-3390",www.faulkner.edu
Gadsden State Community College,"1001 George Wallace Dr, Gadsden, AL 35903",www.gadsdenstate.edu
New Beginning College of Cosmetology,"421 Martling Road, Albertville, AL 35951",www.nbccosmetology.com
George C Wallace Community College-Dothan,"1141 Wallace Drive, Dothan, AL 36303-9234",www.wallace.edu
George C Wallace State Community College-Hanceville,"801 Main St NW, Hanceville, AL 35077-2000",www.wallacestate.edu
George C Wallace State Community College-Selma,"3000 Earl Goodwin Parkway, Selma, AL 36703-2808",www.wccs.edu
Herzing University-Birmingham,"280 West Valley Ave, Birmingham, AL 35209",https://www.herzing.edu/
Huntingdon College,"1500 East Fairview Avenue, Montgomery, AL 36106-2148",www.huntingdon.edu
Heritage Christian University,"3625 Helton Dr, Florence, AL 35630-9977",www.hcu.edu
J. F. Drake State Community and Technical College,"3421 Meridian St N, Huntsville, AL 35811",https://www.drakestate.edu
J F Ingram State Technical College,"5375 Ingram Rd, Deatsville, AL 36022",www.istc.edu
Jacksonville State University,"700 Pelham Road North, Jacksonville, AL 36265",www.jsu.edu/
