,School,Latitude,Longitude
0,Furman University,34.92572000000007,-82.43604999999997
1,Georgetown University,38.90701000000007,-77.07549999999998
2,George Washington University,38.900510000000054,-77.05011999999994
3,The Citadel,33.57224000000008,-112.20066999999995
4,University of Oregon,44.045540000000074,-123.06993999999997
5,Florida State University,30.44073000000003,-84.29086999999998
6,Duke University,36.00009000000006,-78.93064999999996
7,Providence College,41.84411000000006,-71.43799999999999
8,Canisius College,42.92560000000003,-78.85348999999997
9,Stanford University,37.429070000000024,-122.16977999999995
10,William & Mary,37.27082000000007,-76.70906999999994
11,Murray State University,36.616760000000056,-88.32095999999996
12,University of Richmond,37.573600000000056,-77.54001999999997
13,Saint Joseph's University,39.993750000000034,-75.23946999999998
14,Northern Illinois University,41.931020000000046,-88.76214999999996
15,"University of Hawaii, Manoa",21.296590000000037,-157.81675999999996
16,Bryant University,41.92159000000004,-71.53403999999995
17,Stony Brook University,40.914300000000026,-73.11620999999997
18,Chicago State University,41.72195000000005,-87.60931999999997
19,Michigan State University,42.729460000000074,-84.48040999999995
20,High Point University,35.97068000000007,-79.99535999999995
21,Norfolk State University,36.84764000000007,-76.26952999999997
22,Harvard University,42.37588000000005,-71.12339999999995
23,Austin Peay State University,36.53326000000004,-87.35406999999998
24,"University of Colorado, Boulder",40.00392000000005,-105.26683999999995
25,University of Iowa,41.66285000000005,-91.53652999999997
26,Stetson University,29.034890000000075,-81.30312999999995
27,St. John's University (New York),40.720650000000035,-73.79648999999995
28,Washington State University,47.660430000000076,-117.40346999999997
29,Western Michigan University,42.284730000000025,-85.61046999999996
30,Wagner College,40.61236000000008,-74.09197999999998
31,University of Missouri-Kansas City,39.03442000000007,-94.57570999999996
32,Western Illinois University,40.46371000000005,-90.68372999999997
33,University of South Florida,28.054710000000057,-82.41299999999995
34,Nicholls State University,29.795600000000036,-90.80118999999996
35,Tennessee State University,36.16685000000007,-86.82872999999995
36,Dallas Baptist University,32.709850000000074,-96.94708999999995
37,"University of Minnesota, Twin Cities",44.97345000000007,-93.23789999999997
38,Union College (New York),42.81758000000008,-73.92851999999993
39,Jacksonville State University,33.82616000000007,-85.76448999999997
40,Saint Mary's College of California,37.84299000000004,-122.11407999999994
41,Villanova University,40.03494000000006,-75.34057999999999
42,University of San Francisco,37.776440000000036,-122.45012999999994
43,Lipscomb University,36.10560000000004,-86.79843999999997
44,Monmouth University,40.280050000000074,-74.00548999999995
45,Loyola University Maryland,39.347560000000044,-76.61737999999997
46,"University of Massachusetts, Amherst",42.38515000000007,-72.52528999999998
47,"University of California, Davis",38.53670000000005,-121.74900999999994
48,Northeastern University,42.340070000000026,-71.08888999999994
49,U.S. Air Force Academy,38.95557000000008,-104.82176999999996
50,Brown University,41.82761000000005,-71.40449999999998
51,"University of Arkansas, Pine Bluff",34.240770000000055,-92.01970999999998
52,Santa Clara University,37.34832000000006,-121.94221999999996
53,Charleston Southern University,32.98451000000006,-80.06764999999996
54,Ferris State University,43.684780000000046,-85.48350999999997
55,"University of California, Los Angeles",33.92790000000008,-118.37266999999997
56,Southeastern Louisiana University,30.519220000000075,-90.46978999999999
57,University of Nebraska Omaha,41.25422000000003,-95.97893999999997
58,St. Francis College Brooklyn,40.69330000000008,-73.99205999999998
59,Southern Illinois University Edwardsville,38.621560000000045,-90.16184999999996
60,Alabama State University,32.36599000000007,-86.29615999999999
61,The University of Southern Mississippi,31.32803000000007,-89.33211999999997
62,Grand Canyon University,33.50949000000003,-112.12997999999999
63,U.S. Military Academy,41.37667000000005,-73.96237999999994
64,Ball State University,40.198330000000055,-85.40893999999997
65,University at Albany,42.68984000000006,-73.82409999999999
66,Columbia University-Barnard College,40.809270000000026,-73.96369999999996
67,University of Illinois Chicago,41.89530000000008,-87.61604999999997
68,Bucknell University,40.956540000000075,-76.88448999999997
69,University of Arkansas at Little Rock,34.72055489648495,-92.340050350175
70,University of Texas at Arlington,32.73058000000003,-97.11636999999996
71,Massachusetts Institute of Technology,42.358970000000056,-71.09349999999995
72,Northwestern University,41.89530000000008,-87.61604999999997
73,Saint Louis University,38.63936000000007,-90.23687999999999
74,Princeton University,40.35101000000003,-74.65473999999995
75,Baylor University,31.55117000000007,-97.11536999999998
76,Appalachian State University,36.21127000000007,-81.67738999999995
77,Purdue University Fort Wayne,41.11742300000003,-85.12133399999999
78,Illinois State University,40.512920000000065,-88.99329999999998
79,Jackson State University,32.29758000000004,-90.21145999999999
80,Florida Gulf Coast University,26.46419000000003,-81.77299999999997
81,Idaho State University,42.86208000000005,-112.43309999999997
82,Kennesaw State University,34.03216000000003,-84.58129999999994
83,Northern Kentucky University,39.02891000000005,-84.46324999999996
84,"Texas A&M University, College Station",30.612790000000075,-96.33959999999996
85,University of South Carolina Upstate,34.99685000000005,-81.96955999999994
86,Wright State University,39.777540000000045,-84.06525999999997
87,Portland State University,45.513370000000066,-122.68490999999995
88,Savannah State University,32.024200000000064,-81.05569999999994
89,Purdue University,40.42930000000007,-86.91443999999996
90,University of Montana,46.861140000000034,-113.98106999999999
91,Texas Tech University,33.57938000000007,-101.88812999999999
92,Quinnipiac University,41.42165000000006,-72.89451999999994
93,The University of Tulsa,36.15370000000007,-95.94517999999994
94,"California State University, Bakersfield",35.34859000000006,-119.10331999999994
95,University of Illinois Urbana-Champaign,40.10910000000007,-88.22099999999995
96,University of New Mexico,35.08343000000008,-106.61974999999995
97,University of Washington,47.656510000000026,-122.31208999999996
98,La Salle University,40.039270000000045,-75.15290999999996
99,St. Bonaventure University,42.08057000000008,-78.48119999999994
100,Delaware State University,39.18571000000003,-75.54256999999996
101,Hobart and William Smith Colleges,42.85958000000005,-76.98530999999997
102,Georgia Southern University,32.426810000000046,-81.78422999999998
103,University of Alaska Anchorage,61.19064000000003,-149.81811999999996
104,Clarkson University,44.666990000000055,-74.99406999999997
105,Arizona State University,33.42192000000006,-111.93493999999998
106,Francis Marion University,34.19256000000007,-79.65215999999998
107,University of South Dakota,44.49499000000003,-103.87025999999997
108,St. Cloud State University,45.55218000000008,-94.15240999999997
109,University of Mississippi,34.365440000000035,-89.53577999999999
110,University of Wisconsin-Green Bay,44.53496000000007,-87.92901999999998
111,Johns Hopkins University,39.32913000000008,-76.61792999999994
112,University of Texas at Austin,30.278720000000078,-97.73244999999997
113,Georgia Institute of Technology,33.771330000000034,-84.39440999999994
114,Morehead State University,38.18703000000005,-83.43406999999996
115,University of Texas at El Paso,31.77024458758322,-106.50479361106787
116,Iowa State University,42.024740000000065,-93.64454999999998
117,University of Minnesota Duluth,46.816500000000076,-92.08316999999994
118,College of the Holy Cross,42.23962000000006,-71.81267999999994
119,Lafayette College,40.698960000000056,-75.20848999999998
120,Northern Arizona University,35.177140000000065,-111.65415999999999
121,Duquesne University,40.437550000000044,-79.99360999999999
122,University of Arizona,32.23210000000006,-110.95094999999998
123,University of Pittsburgh,40.44541000000004,-79.95083999999997
124,"University of Missouri, Columbia",38.94441000000006,-92.32929999999999
125,University of Massachusetts Lowell,42.65256000000005,-71.32534999999996
126,Temple University,39.980270000000075,-75.15704999999997
127,University of Dayton,39.74078000000003,-84.17992999999996
128,West Virginia University,39.63399000000004,-79.95559999999995
129,University of Utah,40.76523000000003,-111.84946999999994
130,Yale University,41.31457000000006,-72.92360999999994
131,Radford University,37.13856000000004,-80.54717999999997
132,Longwood University,37.30161000000004,-78.39429999999999
133,University of Miami (Florida),25.717390000000023,-80.27748999999994
134,Tennessee Technological University,9.026340000000062,-79.52931999999998
135,East Carolina University,35.609030000000075,-77.36621999999994
136,Mount St. Mary's University,39.68085000000008,-77.35003999999998
137,Long Island University,40.691700000000026,-73.98148999999995
138,Southern Utah University,37.677310000000034,-113.06784999999996
139,University of Notre Dame,41.69790000000006,-86.23865999999998
140,"University of California, Riverside",33.97521000000006,-117.33254999999997
141,Syracuse University,43.03143000000006,-76.11844999999994
142,"University of Maryland, Baltimore County",39.25221000000005,-76.71363999999994
143,"University of California, Irvine",33.649740000000065,-117.84232999999995
144,University of Louisville,38.215040000000045,-85.76050999999995
145,University of Wyoming,41.31132000000008,-105.58265999999998
146,Bentley University,42.390660000000025,-71.22248999999994
147,University of Alaska Fairbanks,64.85741000000007,-147.79946999999996
148,Louisiana State University,30.415790000000072,-91.17734999999999
149,Butler University,39.841350000000034,-86.16917999999998
150,"California State University, Fresno",36.81057000000004,-119.74506999999994
151,Arkansas State University,35.84238000000005,-90.68009999999998
152,Boston College,42.35165000000006,-71.07744999999994
153,Marshall University,38.42234000000008,-82.42987999999997
154,Youngstown State University,41.106580000000065,-80.64762999999994
155,Hampton University,37.022110000000055,-76.33745999999996
156,Merrimack College,42.671560000000056,-71.12360999999999
157,University of North Florida,30.270670000000052,-81.51042999999999
158,Texas A&M University-Corpus Christi,27.714080000000024,-97.32406999999995
159,Samford University,33.461700000000064,-86.79491999999999
160,University of Denver,39.67703000000006,-104.95940999999999
161,University of New Orleans,30.028500000000065,-90.06773999999996
162,University of Central Florida,28.59677000000005,-81.20342999999997
163,University of Wisconsin-Milwaukee,43.07483000000008,-87.87988999999999
164,Xavier University,39.148330000000044,-84.47682999999995
165,Fairfield University,41.15985000000006,-73.25810999999999
166,"California State University, Northridge",34.235520000000065,-118.52863999999994
167,Georgia State University,33.75315000000006,-84.38487999999995
168,Rensselaer Polytechnic Institute,42.731190000000026,-73.68319999999994
169,University of Portland,45.57171000000005,-122.72500999999994
170,Central Connecticut State University,41.69293000000005,-72.76491999999996
171,Middle Tennessee State University,35.843810000000076,-86.37061999999997
172,California Baptist University,35.410510000000045,-118.96564999999998
173,Manhattan College,40.890220000000056,-73.90278999999998
174,Eastern Kentucky University,37.74221000000006,-84.30227999999994
175,Coppin State University,39.30961000000008,-76.65719999999999
176,Southern Illinois University at Carbondale,37.718650000000025,-89.21997999999996
177,University of Detroit Mercy,42.41716000000008,-83.13851999999997
178,Rochester Institute of Technology,43.08486000000005,-77.67441999999994
179,Bowling Green State University,41.374630000000025,-83.63753999999994
180,Southern Methodist University,32.84468000000004,-96.78568999999999
181,Oral Roberts University,36.05044000000004,-95.95768999999996
182,North Carolina A&T State University,36.07232000000005,-79.77276999999998
183,Wake Forest University,36.134700000000066,-80.27661999999998
